id;cultivo;muestra;estructura;peso;campo;lugar;comuna;region;fecha
1;maiz;1;hoja;24.3;2;villa baviera;parral;maule;05-11-2020
2;maiz;1;tallo;20.1;2;villa baviera;parral;maule;05-11-2020
3;maiz;2;hoja;22.1;2;villa baviera;parral;maule;05-11-2020
4;maiz;2;tallo;19.1;2;villa baviera;parral;maule;05-11-2020
5;maiz;3;hoja;20.5;2;villa baviera;parral;maule;05-11-2020
6;maiz;3;tallo;20.1;2;villa baviera;parral;maule;05-11-2020
7;maiz;4;hoja;23.4;2;villa baviera;parral;maule;05-11-2020
8;maiz;4;tallo;20.2;2;villa baviera;parral;maule;05-11-2020
9;maiz;5;hoja;21.9;2;villa baviera;parral;maule;05-11-2020
10;maiz;5;tallo;19.3;2;villa baviera;parral;maule;05-11-2020
11;maiz;1;hoja;44.1;2;villa baviera;parral;maule;19-11-2020
12;maiz;1;hoja;41.3;2;villa baviera;parral;maule;19-11-2020
13;maiz;1;tallo;44.9;2;villa baviera;parral;maule;19-11-2020
14;maiz;2;hoja;69.5;2;villa baviera;parral;maule;19-11-2020
15;maiz;2;tallo;54.0;2;villa baviera;parral;maule;19-11-2020
16;maiz;3;hoja;57.1;2;villa baviera;parral;maule;19-11-2020
17;maiz;3;hoja;53.0;2;villa baviera;parral;maule;19-11-2020
18;maiz;3;tallo;60.0;2;villa baviera;parral;maule;19-11-2020
19;maiz;4;hoja;45.0;2;villa baviera;parral;maule;19-11-2020
20;maiz;4;tallo;37.3;2;villa baviera;parral;maule;19-11-2020
21;maiz;5;hoja;48.4;2;villa baviera;parral;maule;19-11-2020
22;maiz;5;tallo;37.7;2;villa baviera;parral;maule;19-11-2020
23;maiz;1;tallo;100.1;2;villa baviera;parral;maule;09-12-2020
24;maiz;1;tallo;112.4;2;villa baviera;parral;maule;09-12-2020
25;maiz;1;hoja;87.2;2;villa baviera;parral;maule;09-12-2020
26;maiz;1;hoja;94.9;2;villa baviera;parral;maule;09-12-2020
27;maiz;1;hoja;32.9;2;villa baviera;parral;maule;09-12-2020
28;maiz;1;hoja;75.5;2;villa baviera;parral;maule;09-12-2020
29;maiz;2;tallo;107.7;2;villa baviera;parral;maule;09-12-2020
30;maiz;2;tallo;98.3;2;villa baviera;parral;maule;09-12-2020
31;maiz;2;hoja;135.5;2;villa baviera;parral;maule;09-12-2020
32;maiz;2;hoja;119.7;2;villa baviera;parral;maule;09-12-2020
33;maiz;3;tallo;101.4;2;villa baviera;parral;maule;09-12-2020
34;maiz;3;tallo;89.3;2;villa baviera;parral;maule;09-12-2020
35;maiz;3;hoja;112.7;2;villa baviera;parral;maule;09-12-2020
36;maiz;3;hoja;115.6;2;villa baviera;parral;maule;09-12-2020
37;maiz;4;tallo;100.1;2;villa baviera;parral;maule;09-12-2020
38;maiz;4;tallo;96.4;2;villa baviera;parral;maule;09-12-2020
39;maiz;4;hoja;87.2;2;villa baviera;parral;maule;09-12-2020
40;maiz;4;hoja;150.3;2;villa baviera;parral;maule;09-12-2020
41;maiz;5;tallo;89.0;2;villa baviera;parral;maule;09-12-2020
42;maiz;5;tallo;83.6;2;villa baviera;parral;maule;09-12-2020
43;maiz;5;hoja;81.8;2;villa baviera;parral;maule;09-12-2020
44;maiz;5;hoja;90.3;2;villa baviera;parral;maule;09-12-2020
45;maiz;5;hoja;68.7;2;villa baviera;parral;maule;09-12-2020
46;maiz;1;hoja;109.8;2;villa baviera;parral;maule;29-12-2020
47;maiz;1;hoja;191.1;2;villa baviera;parral;maule;29-12-2020
48;maiz;1;hoja;139.1;2;villa baviera;parral;maule;29-12-2020
49;maiz;1;tallo;254.5;2;villa baviera;parral;maule;29-12-2020
50;maiz;1;tallo;222.9;2;villa baviera;parral;maule;29-12-2020
51;maiz;1;tallo;263.0;2;villa baviera;parral;maule;29-12-2020
52;maiz;2;hoja;165.5;2;villa baviera;parral;maule;29-12-2020
53;maiz;2;hoja;189.5;2;villa baviera;parral;maule;29-12-2020
54;maiz;2;tallo;214.3;2;villa baviera;parral;maule;29-12-2020
55;maiz;2;tallo;226.1;2;villa baviera;parral;maule;29-12-2020
56;maiz;2;tallo;228.1;2;villa baviera;parral;maule;29-12-2020
57;maiz;3;hoja;128.3;2;villa baviera;parral;maule;29-12-2020
58;maiz;3;hoja;131.4;2;villa baviera;parral;maule;29-12-2020
59;maiz;3;hoja;183.5;2;villa baviera;parral;maule;29-12-2020
60;maiz;3;tallo;240.8;2;villa baviera;parral;maule;29-12-2020
61;maiz;3;tallo;218.6;2;villa baviera;parral;maule;29-12-2020
62;maiz;3;tallo;270.9;2;villa baviera;parral;maule;29-12-2020
63;maiz;4;hoja;120.3;2;villa baviera;parral;maule;29-12-2020
64;maiz;4;hoja;136.3;2;villa baviera;parral;maule;29-12-2020
65;maiz;4;hoja;183.1;2;villa baviera;parral;maule;29-12-2020
66;maiz;4;hoja;119.4;2;villa baviera;parral;maule;29-12-2020
67;maiz;4;tallo;191.2;2;villa baviera;parral;maule;29-12-2020
68;maiz;4;tallo;161.5;2;villa baviera;parral;maule;29-12-2020
69;maiz;5;hoja;172.7;2;villa baviera;parral;maule;29-12-2020
70;maiz;5;hoja;171.7;2;villa baviera;parral;maule;29-12-2020
71;maiz;5;hoja;120.4;2;villa baviera;parral;maule;29-12-2020
72;maiz;5;tallo;263.6;2;villa baviera;parral;maule;29-12-2020
73;maiz;5;tallo;243.4;2;villa baviera;parral;maule;29-12-2020
74;maiz;5;tallo;266.1;2;villa baviera;parral;maule;29-12-2020
75;maiz;1;mazorca;510.1;2;villa baviera;parral;maule;18-01-2021
76;maiz;1;tallo;227.9;2;villa baviera;parral;maule;18-01-2021
77;maiz;1;tallo;231.7;2;villa baviera;parral;maule;18-01-2021
78;maiz;1;tallo;199.2;2;villa baviera;parral;maule;18-01-2021
79;maiz;1;tallo;218.9;2;villa baviera;parral;maule;18-01-2021
80;maiz;1;hoja;142.5;2;villa baviera;parral;maule;18-01-2021
81;maiz;1;hoja;114.3;2;villa baviera;parral;maule;18-01-2021
82;maiz;1;hoja;168.5;2;villa baviera;parral;maule;18-01-2021
83;maiz;2;mazorca;343.4;2;villa baviera;parral;maule;18-01-2021
84;maiz;2;mazorca;255.5;2;villa baviera;parral;maule;18-01-2021
85;maiz;2;tallo;220.0;2;villa baviera;parral;maule;18-01-2021
86;maiz;2;tallo;147.2;2;villa baviera;parral;maule;18-01-2021
87;maiz;2;tallo;172.1;2;villa baviera;parral;maule;18-01-2021
88;maiz;2;tallo;260.1;2;villa baviera;parral;maule;18-01-2021
89;maiz;2;hoja;125.5;2;villa baviera;parral;maule;18-01-2021
90;maiz;2;hoja;71.3;2;villa baviera;parral;maule;18-01-2021
91;maiz;2;hoja;187.7;2;villa baviera;parral;maule;18-01-2021
92;maiz;3;mazorca;97.7;2;villa baviera;parral;maule;18-01-2021
93;maiz;3;mazorca;484.1;2;villa baviera;parral;maule;18-01-2021
94;maiz;3;hoja;128.3;2;villa baviera;parral;maule;18-01-2021
95;maiz;3;hoja;105.2;2;villa baviera;parral;maule;18-01-2021
96;maiz;3;hoja;91.0;2;villa baviera;parral;maule;18-01-2021
97;maiz;3;hoja;121.8;2;villa baviera;parral;maule;18-01-2021
98;maiz;3;tallo;223.7;2;villa baviera;parral;maule;18-01-2021
99;maiz;3;tallo;239.9;2;villa baviera;parral;maule;18-01-2021
100;maiz;3;tallo;251.1;2;villa baviera;parral;maule;18-01-2021
101;maiz;3;tallo;199.3;2;villa baviera;parral;maule;18-01-2021
102;maiz;4;mazorca;289.2;2;villa baviera;parral;maule;18-01-2021
103;maiz;4;hoja;134.7;2;villa baviera;parral;maule;18-01-2021
104;maiz;4;hoja;106.0;2;villa baviera;parral;maule;18-01-2021
105;maiz;4;hoja;140.0;2;villa baviera;parral;maule;18-01-2021
106;maiz;4;tallo;213.4;2;villa baviera;parral;maule;18-01-2021
107;maiz;4;tallo;158.6;2;villa baviera;parral;maule;18-01-2021
108;maiz;4;tallo;286.2;2;villa baviera;parral;maule;18-01-2021
109;maiz;5;mazorca;369.0;2;villa baviera;parral;maule;18-01-2021
110;maiz;5;hoja;130.5;2;villa baviera;parral;maule;18-01-2021
111;maiz;5;hoja;114.4;2;villa baviera;parral;maule;18-01-2021
112;maiz;5;hoja;172.0;2;villa baviera;parral;maule;18-01-2021
113;maiz;5;tallo;239.5;2;villa baviera;parral;maule;18-01-2021
114;maiz;5;tallo;190.6;2;villa baviera;parral;maule;18-01-2021
115;maiz;5;tallo;182.2;2;villa baviera;parral;maule;18-01-2021
116;maiz;5;tallo;221.4;2;villa baviera;parral;maule;18-01-2021
